股票代码,交易日期,freq,开盘价,最高价,最低价,close,昨收价【除权价，前复权】,open_qfq,high_qfq,low_qfq,close_qfq,open_hfq,high_hfq,low_hfq,close_hfq,成交量,成交额（千元）,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】
000608.SZ,20250704,week,1.85,1.91,1.85,1.9,1.85,1.85,1.91,1.85,1.9,20.58,21.25,20.58,21.14,439236.36,82207.79,0.05,0.03
000608.SZ,20250627,week,1.84,1.93,1.8,1.85,1.84,1.84,1.93,1.8,1.85,20.47,21.47,20.03,20.58,551935.65,103136.62,0.01,0.01
000608.SZ,20250620,week,1.96,2.02,1.84,1.84,1.96,1.96,2.02,1.84,1.84,21.81,22.47,20.47,20.47,576534.2,111535.95,-0.12,-0.06
000608.SZ,20250613,week,1.91,2.07,1.91,1.96,1.91,1.91,2.07,1.91,1.96,21.25,23.03,21.25,21.81,925061.05,184189.36,0.05,0.03
000608.SZ,20250606,week,1.85,1.94,1.82,1.91,1.86,1.85,1.94,1.82,1.91,20.58,21.58,20.25,21.25,730787.91,136182.08,0.05,0.03
000608.SZ,20250530,week,1.81,1.91,1.79,1.86,1.81,1.81,1.91,1.79,1.86,20.14,21.25,19.91,20.69,1034812.72,191428.87,0.05,0.03
000608.SZ,20250523,week,1.74,1.92,1.72,1.81,1.71,1.74,1.92,1.72,1.81,19.36,21.36,19.14,20.14,1630495.87,299815.8,0.1,0.06
000608.SZ,20250516,week,1.65,1.75,1.63,1.71,1.65,1.65,1.75,1.63,1.71,18.36,19.47,18.13,19.02,1240972.52,208748.26,0.06,0.04
000608.SZ,20250509,week,1.66,1.68,1.58,1.65,1.63,1.66,1.68,1.58,1.65,18.47,18.69,17.58,18.36,1306670.7,213166.3,0.02,0.01
000608.SZ,20250502,week,1.48,1.66,1.48,1.63,1.56,1.48,1.66,1.48,1.63,16.47,18.47,16.47,18.13,924746.23,144082.25,0.07,0.04
000608.SZ,20250425,week,1.36,1.56,1.36,1.56,1.43,1.36,1.56,1.36,1.56,15.13,17.36,15.13,17.36,1869776.43,273058.89,0.13,0.09
000608.SZ,20250418,week,1.53,1.6,1.37,1.43,1.53,1.53,1.6,1.37,1.43,17.02,17.8,15.24,15.91,1324393.97,195604.08,-0.1,-0.07
000608.SZ,20250411,week,1.58,1.59,1.29,1.53,1.69,1.58,1.59,1.29,1.53,17.58,17.69,14.35,17.02,1565995.51,230280.98,-0.16,-0.09
000608.SZ,20250404,week,1.68,1.73,1.63,1.69,1.71,1.68,1.73,1.63,1.69,18.69,19.25,18.13,18.8,890545.37,149921.67,-0.02,-0.01
000608.SZ,20250328,week,2.02,2.02,1.7,1.71,2.24,2.02,2.02,1.7,1.71,22.47,22.47,18.91,19.02,2039981.48,367319.02,-0.53,-0.24
000608.SZ,20250321,week,2.18,2.35,2.13,2.24,2.18,2.18,2.35,2.13,2.24,24.25,26.14,23.7,24.92,2143717.42,479546.48,0.06,0.03
000608.SZ,20250314,week,2.08,2.18,2.06,2.18,2.08,2.08,2.18,2.06,2.18,23.14,24.25,22.92,24.25,1064452.29,226712.65,0.1,0.05
000608.SZ,20250307,week,2.17,2.23,2.07,2.08,2.16,2.17,2.23,2.07,2.08,24.14,24.81,23.03,23.14,1018985.62,216542.2,-0.08,-0.04
000608.SZ,20250228,week,2.15,2.31,2.15,2.16,2.16,2.15,2.31,2.15,2.16,23.92,25.7,23.92,24.03,1205581.39,267338.16,0.0,0.0
000608.SZ,20250221,week,2.21,2.29,2.12,2.16,2.19,2.21,2.29,2.12,2.16,24.59,25.48,23.59,24.03,924962.75,203642.15,-0.03,-0.01
000608.SZ,20250214,week,2.2,2.3,2.17,2.19,2.19,2.2,2.3,2.17,2.19,24.48,25.59,24.14,24.36,1115235.06,248661.32,0.0,0.0
000608.SZ,20250207,week,2.07,2.21,2.05,2.19,2.05,2.07,2.21,2.05,2.19,23.03,24.59,22.81,24.36,603609.9,128473.64,0.14,0.07
000608.SZ,20250131,week,2.09,2.15,2.05,2.05,2.08,2.09,2.15,2.05,2.05,23.25,23.92,22.81,22.81,192111.31,40220.63,-0.03,-0.01
000608.SZ,20250124,week,2.2,2.3,2.04,2.08,2.17,2.2,2.3,2.04,2.08,24.48,25.59,22.7,23.14,1041215.64,223614.71,-0.09,-0.04
000608.SZ,20250117,week,2.02,2.27,1.95,2.17,2.06,2.02,2.27,1.95,2.17,22.47,25.25,21.69,24.14,949358.14,203324.96,0.11,0.05
000608.SZ,20250110,week,2.06,2.19,1.96,2.06,2.09,2.06,2.19,1.96,2.06,22.92,24.36,21.81,22.92,1056872.7,222511.94,-0.03,-0.01
000608.SZ,20250103,week,2.35,2.36,2.09,2.09,2.33,2.35,2.36,2.09,2.09,26.14,26.26,23.25,23.25,1066489.58,239044.2,-0.24,-0.1
000608.SZ,20241227,week,2.67,2.68,2.24,2.33,2.71,2.67,2.68,2.24,2.33,29.7,29.82,24.92,25.92,1724386.13,412989.93,-0.38,-0.14
000608.SZ,20241220,week,2.87,2.95,2.6,2.71,2.88,2.87,2.95,2.6,2.71,31.93,32.82,28.93,30.15,1886373.98,521363.27,-0.17,-0.06
000608.SZ,20241213,week,3.04,3.15,2.75,2.88,2.93,3.04,3.15,2.75,2.88,33.82,35.04,30.59,32.04,4636431.81,1370629.22,-0.05,-0.02
000608.SZ,20241206,week,2.5,2.93,2.49,2.93,2.49,2.5,2.93,2.49,2.93,27.81,32.6,27.7,32.6,1672965.7,445775.12,0.44,0.18
000608.SZ,20241129,week,2.43,2.54,2.3,2.49,2.44,2.43,2.54,2.3,2.49,27.03,28.26,25.59,27.7,1523368.35,370835.8,0.05,0.02
000608.SZ,20241122,week,2.46,2.65,2.43,2.44,2.41,2.46,2.65,2.43,2.44,27.37,29.48,27.03,27.15,2849578.85,727532.1,0.03,0.01
000608.SZ,20241115,week,3.15,3.33,2.4,2.41,3.03,3.15,3.33,2.4,2.41,35.04,37.05,26.7,26.81,4615939.16,1314060.46,-0.62,-0.2
000608.SZ,20241108,week,2.34,3.03,2.21,3.03,2.33,2.34,3.03,2.21,3.03,26.03,33.71,24.59,33.71,3262524.89,858702.85,0.7,0.3
000608.SZ,20241101,week,2.26,2.52,2.21,2.33,2.25,2.26,2.52,2.21,2.33,25.14,28.04,24.59,25.92,3246895.45,763003.15,0.08,0.04
000608.SZ,20241025,week,2.19,2.35,2.11,2.25,2.24,2.19,2.35,2.11,2.25,24.36,26.14,23.47,25.03,2692186.11,593617.12,0.01,0.0
000608.SZ,20241018,week,2.14,2.4,2.05,2.24,2.08,2.14,2.4,2.05,2.24,23.81,26.7,22.81,24.92,3395476.52,749952.45,0.16,0.08
000608.SZ,20241011,week,2.76,2.76,2.03,2.08,2.51,2.76,2.76,2.03,2.08,30.71,30.71,22.58,23.14,3620606.85,891233.6,-0.43,-0.17
000608.SZ,20241004,week,2.51,2.51,2.51,2.51,2.28,2.51,2.51,2.51,2.51,27.92,27.92,27.92,27.92,68586.76,17215.28,0.23,0.1
000608.SZ,20240927,week,1.55,2.28,1.54,2.28,1.56,1.55,2.28,1.54,2.28,17.24,25.37,17.13,25.37,2843532.04,530674.65,0.72,0.46
000608.SZ,20240920,week,1.5,1.59,1.46,1.56,1.5,1.5,1.59,1.46,1.56,16.69,17.69,16.24,17.36,648250.0,99661.86,0.06,0.04
000608.SZ,20240913,week,1.46,1.55,1.43,1.5,1.48,1.46,1.55,1.43,1.5,16.24,17.24,15.91,16.69,561009.0,83798.33,0.02,0.01
000608.SZ,20240906,week,1.52,1.58,1.47,1.48,1.52,1.52,1.58,1.47,1.48,16.91,17.58,16.35,16.47,966729.82,146126.87,-0.04,-0.03
000608.SZ,20240830,week,1.37,1.56,1.37,1.52,1.38,1.37,1.56,1.37,1.52,15.24,17.36,15.24,16.91,1233985.18,181219.35,0.14,0.1
000608.SZ,20240823,week,1.46,1.49,1.36,1.38,1.48,1.46,1.49,1.36,1.38,16.24,16.58,15.13,15.35,331997.0,47533.75,-0.1,-0.07
000608.SZ,20240816,week,1.57,1.59,1.45,1.48,1.56,1.57,1.59,1.45,1.48,17.47,17.69,16.13,16.47,502688.22,75544.67,-0.08,-0.05
000608.SZ,20240809,week,1.5,1.63,1.48,1.56,1.51,1.5,1.63,1.48,1.56,16.69,18.13,16.47,17.36,512931.38,79504.71,0.05,0.03
000608.SZ,20240802,week,1.42,1.61,1.38,1.51,1.41,1.42,1.61,1.38,1.51,15.8,17.91,15.35,16.8,446733.4,66818.51,0.1,0.07
000608.SZ,20240726,week,1.41,1.48,1.35,1.41,1.4,1.41,1.48,1.35,1.41,15.69,16.47,15.02,15.69,415523.86,58795.04,0.01,0.01
