,股票代码,交易日期,freq,开盘价,最高价,最低价,close,昨收价【除权价，前复权】,open_qfq,high_qfq,low_qfq,close_qfq,open_hfq,high_hfq,low_hfq,close_hfq,成交量,成交额（千元）,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】
0,002600.SZ,20250620,week,8.11,8.58,8.1,8.2,8.19,8.11,8.58,8.1,8.2,35.65,37.72,35.61,36.04,4698818.96,3914761.35,0.01,0.0
1,002600.SZ,20250613,week,8.43,8.55,8.11,8.19,8.42,8.43,8.55,8.11,8.19,37.06,37.58,35.65,36.0,4889036.04,4075016.57,-0.23,-0.03
2,002600.SZ,20250606,week,8.04,8.54,7.98,8.42,8.06,8.04,8.54,7.98,8.42,35.34,37.54,35.08,37.01,4079224.78,3385998.74,0.36,0.04
3,002600.SZ,20250530,week,8.0,8.26,7.92,8.06,8.1,8.0,8.26,7.92,8.06,35.17,36.31,34.81,35.43,3350010.35,2702242.44,-0.04,0.0
4,002600.SZ,20250523,week,8.3,8.4,8.09,8.1,8.3,8.3,8.4,8.09,8.1,36.48,36.92,35.56,35.61,3664455.4,3029654.14,-0.2,-0.02
5,002600.SZ,20250516,week,8.38,8.76,8.21,8.3,8.13,8.38,8.76,8.21,8.3,36.84,38.51,36.09,36.48,5896636.38,4974651.2,0.17,0.02
6,002600.SZ,20250509,week,8.11,8.45,8.05,8.13,7.98,8.09,8.45,8.03,8.13,35.56,37.14,35.3,35.74,4720584.07,3862852.09,0.15,0.02
7,002600.SZ,20250502,week,7.65,8.05,7.57,7.98,7.7,7.63,8.03,7.55,7.96,33.55,35.3,33.19,34.99,3005670.52,2345658.1,0.28,0.04
8,002600.SZ,20250425,week,7.27,7.92,7.17,7.7,7.17,7.25,7.9,7.15,7.68,31.88,34.73,31.44,33.76,8043896.07,6131127.94,0.53,0.07
9,002600.SZ,20250418,week,7.53,7.65,6.96,7.17,7.26,7.51,7.63,6.94,7.15,33.02,33.55,30.52,31.44,7355182.96,5327637.65,-0.09,-0.01
10,002600.SZ,20250411,week,7.6,7.64,6.16,7.26,8.44,7.58,7.62,6.15,7.24,33.33,33.5,27.01,31.84,11876230.96,8171797.11,-1.18,-0.14
11,002600.SZ,20250404,week,9.08,9.23,8.35,8.44,9.16,9.06,9.21,8.33,8.42,39.82,40.47,36.61,37.01,4258508.51,3764973.45,-0.72,-0.08
12,002600.SZ,20250328,week,9.12,9.33,8.94,9.16,9.13,9.1,9.31,8.92,9.14,39.99,40.91,39.2,40.17,4376801.41,3991161.51,0.03,0.0
13,002600.SZ,20250321,week,9.81,9.97,9.1,9.13,9.77,9.79,9.95,9.08,9.11,43.02,43.72,39.9,40.04,5574927.83,5358746.62,-0.64,-0.07
14,002600.SZ,20250314,week,10.28,10.45,9.46,9.77,10.09,10.25,10.42,9.44,9.75,45.08,45.82,41.48,42.84,8478293.2,8398128.86,-0.32,-0.03
15,002600.SZ,20250307,week,9.84,10.37,9.43,10.09,9.72,9.82,10.34,9.41,10.07,43.15,45.47,41.35,44.24,8713800.33,8648274.4,0.37,0.04
16,002600.SZ,20250228,week,10.63,11.19,9.67,9.72,10.68,10.6,11.16,9.65,9.7,46.61,49.07,42.4,42.62,16868601.59,17656607.47,-0.96,-0.09
17,002600.SZ,20250221,week,9.79,11.49,9.4,10.68,9.79,9.77,11.46,9.38,10.65,42.93,50.38,41.22,46.83,22992838.4,23748355.98,0.89,0.09
18,002600.SZ,20250214,week,10.19,10.22,9.57,9.79,10.16,10.17,10.2,9.55,9.77,44.68,44.81,41.96,42.93,17629547.63,17334605.77,-0.37,-0.04
19,002600.SZ,20250207,week,8.79,10.5,8.7,10.16,8.51,8.77,10.47,8.68,10.14,38.54,46.04,38.15,44.55,12627302.63,12306335.24,1.65,0.19
