股票代码,交易日期,freq,开盘价,最高价,最低价,close,昨收价【除权价，前复权】,open_qfq,high_qfq,low_qfq,close_qfq,open_hfq,high_hfq,low_hfq,close_hfq,成交量,成交额（千元）,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】
600580.SH,20250704,week,19.5,20.33,19.5,19.74,19.5,19.5,20.33,19.5,19.74,176.69,184.21,176.69,178.86,1506139.82,2987824.78,0.24,0.01
600580.SH,20250627,week,21.55,23.72,19.25,19.5,21.91,17.86,19.7,17.81,19.5,161.79,178.5,161.41,176.69,2428120.18,5461312.7,-2.41,-0.11
600580.SH,20250620,week,22.2,23.06,21.91,21.91,22.47,18.39,19.11,18.15,18.15,166.67,173.12,164.49,164.49,1732124.95,3889096.59,-0.56,-0.02
600580.SH,20250613,week,23.6,23.77,22.38,22.47,23.47,19.55,19.69,18.54,18.62,177.18,178.45,168.02,168.69,1676484.96,3880212.26,-1.0,-0.04
600580.SH,20250606,week,22.81,23.98,22.77,23.47,23.03,18.9,19.87,18.87,19.45,171.25,180.03,170.95,176.2,1459752.46,3422670.29,0.44,0.02
600580.SH,20250530,week,24.3,24.37,22.87,23.03,24.26,20.13,20.19,18.95,19.08,182.43,182.96,171.7,172.9,2062756.83,4846400.69,-1.23,-0.05
600580.SH,20250523,week,25.0,25.78,24.15,24.26,25.02,20.71,21.36,20.01,20.1,187.69,193.54,181.31,182.13,2684119.45,6661528.5,-0.76,-0.03
600580.SH,20250516,week,25.99,26.72,24.73,25.02,25.6,21.53,22.14,20.49,20.73,195.12,200.6,185.66,187.84,3075308.78,7943730.07,-0.58,-0.02
600580.SH,20250509,week,26.0,26.94,25.35,25.6,25.72,21.54,22.32,21.0,21.21,195.2,202.25,190.32,192.19,3921318.36,10249056.98,-0.12,0.0
600580.SH,20250502,week,23.98,26.3,23.43,25.72,23.73,19.87,21.79,19.41,21.31,180.03,197.45,175.9,193.09,2737606.28,6733936.72,1.99,0.08
600580.SH,20250425,week,22.08,24.52,22.03,23.73,22.71,18.29,20.32,18.25,19.66,165.77,184.08,165.39,178.15,4301190.55,10117853.39,1.02,0.04
