,股票代码,交易日期,freq,开盘价,最高价,最低价,close,昨收价【除权价，前复权】,open_qfq,high_qfq,low_qfq,close_qfq,open_hfq,high_hfq,low_hfq,close_hfq,成交量,成交额（千元）,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】
0,603559.SH,20250620,week,9.2,9.98,8.8,8.89,9.18,9.2,9.98,8.8,8.89,20.07,21.78,19.2,19.4,94854.04,89676.33,-0.29,-0.03
1,603559.SH,20250613,week,9.26,9.45,9.03,9.18,9.22,9.26,9.45,9.03,9.18,20.2,20.62,19.7,20.03,39372.29,36311.87,-0.04,0.0
2,603559.SH,20250606,week,9.44,9.66,9.03,9.22,9.55,9.44,9.66,9.03,9.22,20.6,21.08,19.7,20.12,49553.31,45958.96,-0.33,-0.03
3,603559.SH,20250530,week,8.56,9.7,8.33,9.55,8.4,8.56,9.7,8.33,9.55,18.68,21.16,18.18,20.84,154592.73,141301.89,1.15,0.14
4,603559.SH,20250523,week,8.59,8.7,8.26,8.4,8.2,8.59,8.7,8.26,8.4,18.74,18.98,18.02,18.33,78256.04,66327.97,0.2,0.02
5,603559.SH,20250516,week,8.0,8.2,7.78,8.2,8.0,8.0,8.2,7.78,8.2,17.46,17.89,16.98,17.89,41251.08,33026.34,0.2,0.03
6,603559.SH,20250509,week,8.0,8.3,7.8,8.0,8.14,8.0,8.3,7.8,8.0,17.46,18.11,17.02,17.46,39279.0,31689.83,-0.14,-0.02
7,603559.SH,20250502,week,8.36,8.76,7.96,8.14,8.36,8.36,8.76,7.96,8.14,18.24,19.11,17.37,17.76,63289.32,53040.08,-0.22,-0.03
8,603559.SH,20250425,week,7.8,8.74,7.73,8.36,7.97,7.8,8.74,7.73,8.36,17.02,19.07,16.87,18.24,99429.02,83246.84,0.39,0.05
9,603559.SH,20250418,week,7.46,8.67,7.46,7.97,7.39,7.46,8.67,7.46,7.97,16.28,18.92,16.28,17.39,101679.24,84080.15,0.58,0.08
10,603559.SH,20250411,week,7.23,7.5,6.53,7.39,7.61,7.23,7.5,6.53,7.39,15.78,16.36,14.25,16.12,91749.57,63841.73,-0.22,-0.03
11,603559.SH,20250404,week,7.46,7.61,7.2,7.61,7.59,7.46,7.61,7.2,7.61,16.28,16.6,15.71,16.6,41730.81,31078.32,0.02,0.0
12,603559.SH,20250328,week,8.29,8.29,7.5,7.59,8.27,8.29,8.29,7.5,7.59,18.09,18.09,16.36,16.56,50103.86,39629.71,-0.68,-0.08
13,603559.SH,20250321,week,8.45,8.78,8.11,8.27,8.38,8.45,8.78,8.11,8.27,18.44,19.16,17.7,18.04,68708.63,58593.36,-0.11,-0.01
14,603559.SH,20250314,week,8.28,8.59,8.15,8.38,8.25,8.28,8.59,8.15,8.38,18.07,18.74,17.78,18.28,59331.83,49644.62,0.13,0.02
15,603559.SH,20250307,week,8.29,9.2,8.24,8.25,8.44,8.29,9.2,8.24,8.25,18.09,20.07,17.98,18.0,144510.45,124951.91,-0.19,-0.02
16,603559.SH,20250228,week,8.2,9.39,8.12,8.44,8.36,8.2,9.39,8.12,8.44,17.89,20.49,17.72,18.42,177934.24,154467.15,0.08,0.01
17,603559.SH,20250221,week,7.72,8.36,7.57,8.36,7.75,7.72,8.36,7.57,8.36,16.84,18.24,16.52,18.24,124692.66,99006.19,0.61,0.08
18,603559.SH,20250214,week,7.27,7.87,7.22,7.75,7.28,7.27,7.87,7.22,7.75,15.86,17.17,15.75,16.91,118472.5,90728.83,0.47,0.06
19,603559.SH,20250207,week,6.98,7.46,6.82,7.28,7.17,6.98,7.46,6.82,7.28,15.23,16.28,14.88,15.88,78036.6,55372.04,0.11,0.02
20,603559.SH,20250131,week,7.08,7.35,7.07,7.17,7.04,7.08,7.35,7.07,7.17,15.45,16.04,15.43,15.64,24042.0,17382.06,0.13,0.02
21,603559.SH,20250124,week,7.93,7.94,6.95,7.04,7.91,7.93,7.94,6.95,7.04,17.3,17.32,15.16,15.36,119689.48,88366.16,-0.87,-0.11
22,603559.SH,20250117,week,7.73,8.53,7.58,7.91,7.93,7.73,8.53,7.58,7.91,16.87,18.61,16.54,17.26,150093.0,120770.02,-0.02,0.0
23,603559.SH,20250110,week,10.51,10.51,7.93,7.93,10.01,10.51,10.51,7.93,7.93,22.93,22.93,17.3,17.3,256202.85,229022.01,-2.08,-0.21
24,603559.SH,20250103,week,8.65,10.01,8.65,10.01,8.24,8.65,10.01,8.65,10.01,18.87,21.84,18.87,21.84,1374.0,1248.51,1.77,0.21
25,603559.SH,20241227,week,11.78,11.88,7.85,8.24,11.99,8.14,8.24,7.47,8.24,17.75,17.98,16.31,17.98,120751.0,134989.2,-3.75,-0.31
