股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价【除权价，前复权】,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】,成交量,成交额（千元）,close_y,换手率,换手率（自由流通股）,量比,市盈率（总市值/净利润，亏损的PE为空）,市盈率（TTM，亏损的PE为空）,市净率（总市值/净资产）,市销率,市销率（TTM）,股息率 （%）,股息率（TTM）（%）,总股本 （万股）,流通股本 （万股）,自由流通股本 （万）,总市值 （万元）,流通市值（万元）
002653.SZ,20250702,44.26,44.49,42.71,43.5,44.19,-0.69,-1.5614,33911.0,147429.018,43.5,0.6329,1.351,1.44,123.1908,139.1456,12.2874,13.0911,12.6168,0.789,0.9523,111991.797,53582.7058,25101.0303,4871643.1695,2330847.7023
002653.SZ,20250701,42.5,44.4,42.22,44.19,42.22,1.97,4.666,31184.15,135554.005,44.19,0.582,1.2423,1.38,125.1448,141.3527,12.4823,13.2987,12.817,0.7767,0.9374,111991.797,53582.7058,25101.0303,4948917.5094,2367819.7693
002653.SZ,20250630,42.4,42.81,42.02,42.22,42.37,-0.15,-0.354,15687.36,66313.263,42.22,0.2928,0.625,0.57,119.5658,135.0512,11.9259,12.7059,12.2456,0.8129,0.9812,111991.797,53582.7058,25101.0303,4728293.6693,2262261.8389
002653.SZ,20250627,42.29,42.85,41.96,42.37,42.29,0.08,0.1892,20188.67,85723.833,42.37,0.3768,0.8043,0.59,119.9906,135.531,11.9682,12.751,12.2891,0.81,0.9777,111991.797,53582.7058,25101.0303,4745092.4389,2270299.2447
002653.SZ,20250626,42.82,43.16,41.72,42.29,43.15,-0.86,-1.993,24973.0,105538.277,42.29,0.4661,0.9949,0.7,119.7641,135.2751,11.9456,12.7269,12.2659,0.8116,0.9795,111991.797,53582.7058,25101.0303,4736133.0951,2266012.6283
002653.SZ,20250625,43.3,43.99,42.73,43.15,42.86,0.29,0.6766,25623.0,110821.132,43.15,0.4782,1.0208,0.73,122.1996,138.026,12.1886,12.9857,12.5153,0.7954,0.96,111991.797,53582.7058,25101.0303,4832446.0406,2312093.7553
002653.SZ,20250624,43.2,43.5,42.0,42.86,42.73,0.13,0.3042,26234.59,111990.054,42.86,0.4896,1.0452,0.64,121.3783,137.0984,12.1066,12.8985,12.4312,0.8008,0.9665,111991.797,53582.7058,25101.0303,4799968.4194,2296554.7706
002653.SZ,20250623,41.02,42.89,40.7,42.73,40.99,1.74,4.2449,39452.98,166231.299,42.73,0.7363,1.5718,0.94,121.0101,136.6826,12.0699,12.8593,12.3935,0.8032,0.9695,111991.797,53582.7058,25101.0303,4785409.4858,2289589.0188
002653.SZ,20250620,42.16,42.2,40.9,40.99,42.26,-1.27,-3.0052,55123.49,227629.441,40.99,1.0288,2.1961,1.33,116.0825,131.1167,11.5784,12.3357,11.8888,0.8373,1.0106,111991.797,53582.7058,25101.0303,4590543.759,2196355.1107
002653.SZ,20250619,43.09,44.2,41.77,42.26,42.52,-0.26,-0.6115,31644.51,135143.216,42.26,0.5906,1.2607,0.68,119.6791,135.1791,11.9372,12.7179,12.2572,0.8121,0.9802,111991.797,53582.7058,25101.0303,4732773.3412,2264405.1471
