,股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价【除权价，前复权】,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】,成交量,成交额（千元）,close_y,换手率,换手率（自由流通股）,量比,市盈率（总市值/净利润，亏损的PE为空）,市盈率（TTM，亏损的PE为空）,市净率（总市值/净资产）,市销率,市销率（TTM）,股息率 （%）,股息率（TTM）（%）,总股本 （万股）,流通股本 （万股）,自由流通股本 （万）,总市值 （万元）,流通市值（万元）
0,002843.SZ,20250620,21.5,21.8,20.86,20.95,20.97,-0.02,-0.0954,89372.5,190121.142,20.95,3.5636,7.0766,1.34,104.6008,158.0096,3.846,3.0468,3.2115,0.9589,,25173.7562,25079.2562,12629.2562,527390.1924,525410.4174
1,002843.SZ,20250619,21.0,21.88,20.82,20.97,21.12,-0.15,-0.7102,97711.83,209475.113,20.97,3.8961,7.7369,1.64,104.7007,158.1604,3.8497,3.0497,3.2145,0.958,,25173.7562,25079.2562,12629.2562,527893.6675,525912.0025
2,002843.SZ,20250618,20.93,21.12,20.6,21.12,21.05,0.07,0.3325,58972.5,123198.741,21.12,2.3514,4.6695,0.79,105.4496,159.2918,3.8772,3.0715,3.2375,0.9512,,25173.7562,25079.2562,12629.2562,531669.7309,529673.8909
3,002843.SZ,20250617,20.82,21.19,20.61,21.05,20.82,0.23,1.1047,51332.71,107329.826,21.05,2.0468,4.0646,0.66,105.1001,158.7638,3.8644,3.0613,3.2268,0.9543,,25173.7562,25079.2562,12629.2562,529907.568,527918.343
4,002843.SZ,20250616,20.25,21.05,20.17,20.82,20.4,0.42,2.0588,64643.84,134460.016,20.82,2.5776,5.1186,0.86,103.9517,157.0291,3.8221,3.0279,3.1915,0.9649,,25173.7562,25079.2562,12629.2562,524117.6041,522150.1141
5,002843.SZ,20250613,20.59,20.9,20.27,20.4,20.69,-0.29,-1.4016,59726.14,122377.521,20.4,2.3815,4.7292,0.77,101.8547,153.8613,3.745,2.9668,3.1271,0.9847,,25173.7562,25079.2562,12629.2562,513544.6265,511616.8265
6,002843.SZ,20250612,20.95,21.0,20.55,20.69,20.76,-0.07,-0.3372,63177.0,131346.526,20.69,2.5191,5.0024,0.7,103.3027,156.0486,3.7983,3.009,3.1716,0.9709,,25173.7562,25079.2562,12629.2562,520845.0158,518889.8108
7,002843.SZ,20250611,21.0,21.25,20.58,20.76,21.86,-1.1,-5.032,133954.26,279449.279,20.76,5.3412,10.6067,1.75,103.6522,156.5766,3.8111,3.0191,3.1823,0.9677,,25173.7562,25079.2562,12629.2562,522607.1787,520645.3587
8,002843.SZ,20250610,22.29,22.43,21.5,21.86,22.28,-0.42,-1.8851,68616.66,150056.576,21.86,2.736,5.4332,0.92,109.1443,164.873,4.0131,3.1791,3.3509,0.919,,25173.7562,25079.2562,12629.2562,550298.3105,548232.5405
9,002843.SZ,20250609,22.19,22.57,22.19,22.28,22.27,0.01,0.0449,52468.02,117319.291,22.28,2.0921,4.1545,0.63,111.2413,168.0407,4.0902,3.2402,3.4153,0.9016,,25173.7562,25079.2562,12629.2562,560871.2881,558765.8281
