股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价【除权价，前复权】,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】,成交量,成交额（千元）,close_y,换手率,换手率（自由流通股）,量比,市盈率（总市值/净利润，亏损的PE为空）,市盈率（TTM，亏损的PE为空）,市净率（总市值/净资产）,市销率,市销率（TTM）,股息率 （%）,股息率（TTM）（%）,总股本 （万股）,流通股本 （万股）,自由流通股本 （万）,总市值 （万元）,流通市值（万元）
600438.SH,20250702,16.5,17.8,16.5,17.8,16.18,1.62,10.0124,1965794.61,3390677.25,17.8,4.3665,7.9734,2.25,,,1.8067,0.8711,0.9069,5.0616,,450198.5805,450198.5805,246545.1318,8013534.7329,8013534.7329
600438.SH,20250701,16.47,16.58,16.11,16.18,16.75,-0.57,-3.403,710333.09,1154842.964,16.18,1.5778,2.8811,0.85,,,1.6422,0.7918,0.8244,5.5684,,450198.5805,450198.5805,246545.1318,7284213.0325,7284213.0325
600438.SH,20250630,16.2,17.0,16.0,16.75,15.65,1.1,7.0288,1629790.39,2685242.251,16.75,3.6202,6.6105,2.75,,,1.7001,0.8197,0.8534,5.3789,,450198.5805,450198.5805,246545.1318,7540826.2234,7540826.2234
600438.SH,20250627,15.76,16.04,15.53,15.65,15.67,-0.02,-0.1276,593615.86,932202.088,15.65,1.3186,2.4077,1.0,,,1.5884,0.7659,0.7974,5.7569,,450198.5805,450198.5805,246545.1318,7045607.7848,7045607.7848
600438.SH,20250626,15.76,16.36,15.65,15.67,15.67,0.0,0.0,903706.82,1443508.915,15.67,2.0074,3.6655,1.81,,,1.5905,0.7669,0.7984,5.7496,,450198.5805,450198.5805,246545.1318,7054611.7564,7054611.7564
600438.SH,20250625,15.47,15.67,15.29,15.67,15.48,0.19,1.2274,528568.0,819437.446,15.67,1.1741,2.1439,1.16,,,1.5905,0.7669,0.7984,5.7496,,450198.5805,450198.5805,246545.1318,7054611.7564,7054611.7564
600438.SH,20250624,15.09,15.5,15.03,15.48,15.06,0.42,2.7888,525526.81,805377.05,15.48,1.1673,2.1316,1.29,,,1.5712,0.7576,0.7887,5.8202,,450198.5805,450198.5805,246545.1318,6969074.0261,6969074.0261
600438.SH,20250623,15.04,15.15,14.89,15.06,15.23,-0.17,-1.1162,416062.02,625003.826,15.06,0.9242,1.6876,0.98,,,1.5286,0.737,0.7673,5.9825,,450198.5805,450198.5805,246545.1318,6779990.6223,6779990.6223
600438.SH,20250620,15.22,15.65,15.15,15.23,14.98,0.25,1.6689,604134.26,931911.706,15.23,1.3419,2.4504,1.46,,,1.5458,0.7453,0.776,5.9157,,450198.5805,450198.5805,246545.1318,6856524.381,6856524.381
600438.SH,20250619,15.38,15.45,14.97,14.98,15.39,-0.41,-2.6641,419897.68,636399.67,14.98,0.9327,1.7031,1.02,,,1.5204,0.7331,0.7633,6.0144,,450198.5805,450198.5805,246545.1318,6743974.7359,6743974.7359
600438.SH,20250618,15.54,15.62,15.37,15.39,15.59,-0.2,-1.2829,312212.17,483129.548,15.39,0.6935,1.2663,0.72,,,1.562,0.7531,0.7842,5.8542,,450198.5805,450198.5805,246545.1318,6928556.1539,6928556.1539
600438.SH,20250617,15.64,15.71,15.48,15.59,15.66,-0.07,-0.447,281623.75,439411.524,15.59,0.6256,1.1423,0.62,,,1.5823,0.7629,0.7943,5.7791,,450198.5805,450198.5805,246545.1318,7018595.87,7018595.87
600438.SH,20250616,15.78,15.88,15.56,15.66,15.93,-0.27,-1.6949,497468.75,778595.584,15.66,1.105,2.0178,1.16,,,1.5895,0.7664,0.7979,5.7533,,450198.5805,450198.5805,246545.1318,7050109.7706,7050109.7706
600438.SH,20250613,15.91,15.93,15.64,15.93,16.0,-0.07,-0.4375,563208.44,888542.464,15.93,1.251,2.2844,1.46,,,1.6169,0.7796,0.8117,5.6558,5.6558,450198.5805,450198.5805,246545.1318,7171663.3874,7171663.3874
600438.SH,20250612,16.11,16.11,15.88,16.0,16.14,-0.14,-0.8674,397146.42,633963.323,16.0,0.8822,1.6108,1.12,,,1.624,0.783,0.8152,5.631,5.631,450198.5805,450198.5805,246545.1318,7203177.288,7203177.288
600438.SH,20250611,15.95,16.45,15.93,16.14,15.96,0.18,1.1278,439251.45,712886.53,16.14,0.9757,1.7816,1.41,,,1.6382,0.7899,0.8224,5.5822,5.5822,450198.5805,450198.5805,246545.1318,7266205.0893,7266205.0893
600438.SH,20250610,16.22,16.34,15.91,15.96,16.27,-0.31,-1.9053,388508.25,624739.168,15.96,0.863,1.5758,1.36,,,1.6199,0.781,0.8132,5.6451,5.6451,450198.5805,450198.5805,246545.1318,7185169.3448,7185169.3448
600438.SH,20250609,16.04,16.33,15.95,16.27,16.09,0.18,1.1187,355722.14,576380.31,16.27,0.7901,1.4428,1.08,,,1.6514,0.7962,0.829,5.5376,5.5376,450198.5805,450198.5805,246545.1318,7324730.9047,7324730.9047
600438.SH,20250606,16.28,16.29,16.05,16.09,16.23,-0.14,-0.8626,354489.23,571315.733,16.09,0.7874,1.4378,1.19,,,1.6331,0.7874,0.8198,5.5995,5.5995,450198.5805,450198.5805,246545.1318,7243695.1602,7243695.1602
600438.SH,20250605,16.3,16.34,16.17,16.23,16.31,-0.08,-0.4905,237956.76,385652.547,16.23,0.5286,0.9652,0.84,,,1.6473,0.7943,0.827,5.5512,5.5512,450198.5805,450198.5805,246545.1318,7306722.9615,7306722.9615
600438.SH,20250604,16.25,16.35,16.21,16.31,16.19,0.12,0.7412,223418.47,363400.54,16.31,0.4963,0.9062,0.81,,,1.6554,0.7982,0.831,5.524,5.524,450198.5805,450198.5805,246545.1318,7342738.848,7342738.848
