,股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价【除权价，前复权】,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】,成交量,成交额（千元）,close_y,换手率,换手率（自由流通股）,量比,市盈率（总市值/净利润，亏损的PE为空）,市盈率（TTM，亏损的PE为空）,市净率（总市值/净资产）,市销率,市销率（TTM）,股息率 （%）,股息率（TTM）（%）,总股本 （万股）,流通股本 （万股）,自由流通股本 （万）,总市值 （万元）,流通市值（万元）
0,603000.SH,20250620,19.49,19.56,19.2,19.2,19.49,-0.29,-1.4879,59049.46,114086.534,19.2,0.5341,1.2397,0.78,101.4637,98.1936,5.6798,10.1682,10.2564,0.8802,0.8802,110569.1056,110569.1056,47633.3171,2122926.8275,2122926.8275
1,603000.SH,20250619,19.77,19.84,19.42,19.49,19.74,-0.25,-1.2665,77879.42,152664.835,19.49,0.7044,1.635,1.05,102.9963,99.6768,5.7656,10.3218,10.4114,0.8671,0.8671,110569.1056,110569.1056,47633.3171,2154991.8681,2154991.8681
2,603000.SH,20250618,19.85,19.92,19.61,19.74,19.86,-0.12,-0.6042,62842.42,124123.579,19.74,0.5684,1.3193,0.85,104.3174,100.9553,5.8396,10.4542,10.5449,0.8561,0.8561,110569.1056,110569.1056,47633.3171,2182634.1445,2182634.1445
3,603000.SH,20250617,19.99,20.0,19.8,19.86,20.0,-0.14,-0.7,50748.01,100809.331,19.86,0.459,1.0654,0.63,104.9515,101.569,5.8751,10.5178,10.609,0.851,0.851,110569.1056,110569.1056,47633.3171,2195902.4372,2195902.4372
4,603000.SH,20250616,19.73,20.05,19.7,20.0,19.8,0.2,1.0101,73918.31,147427.619,20.0,0.6685,1.5518,0.87,105.6914,102.285,5.9165,10.5919,10.6838,0.845,0.845,110569.1056,110569.1056,47633.3171,2211382.112,2211382.112
5,603000.SH,20250613,20.18,20.18,19.79,19.8,20.24,-0.44,-2.1739,111073.36,220912.357,19.8,1.0046,2.3318,1.51,104.6345,101.2622,5.8573,10.486,10.577,0.8535,0.8535,110569.1056,110569.1056,47633.3171,2189268.2909,2189268.2909
6,603000.SH,20250612,20.13,20.34,20.06,20.24,20.2,0.04,0.198,72752.65,147203.554,20.24,0.658,1.5273,0.98,106.9597,103.5125,5.9875,10.719,10.812,0.835,0.835,110569.1056,110569.1056,47633.3171,2237918.6973,2237918.6973
7,603000.SH,20250611,20.18,20.3,20.1,20.2,20.18,0.02,0.0991,61265.13,123843.874,20.2,0.5541,1.2862,0.84,106.7483,103.3079,5.9757,10.6978,10.7906,0.8366,0.8366,110569.1056,110569.1056,47633.3171,2233495.9331,2233495.9331
8,603000.SH,20250610,20.35,20.37,19.9,20.18,20.36,-0.18,-0.8841,81431.0,164015.083,20.18,0.7365,1.7095,1.22,106.6426,103.2056,5.9697,10.6872,10.78,0.8375,0.8375,110569.1056,110569.1056,47633.3171,2231284.551,2231284.551
9,603000.SH,20250609,20.18,20.39,20.09,20.36,20.11,0.25,1.2432,95984.99,194905.079,20.36,0.8681,2.0151,1.63,107.5938,104.1262,6.023,10.7826,10.8761,0.8301,0.8301,110569.1056,110569.1056,47633.3171,2251186.99,2251186.99
10,603000.SH,20250606,20.21,20.25,20.06,20.11,20.14,-0.03,-0.149,56865.99,114488.388,20.11,0.5143,1.1938,0.94,106.2727,102.8476,5.949,10.6502,10.7426,0.8404,0.8404,110569.1056,110569.1056,47633.3171,2223544.7136,2223544.7136
