"ts_code","symbol","industry","name","list_date"
"000001.SZ","000001","银行","平安银行","19910403"
"000002.SZ","000002","全国地产","万科A","19910129"
"000004.SZ","000004","软件服务","*ST国华","19910114"
"000006.SZ","000006","区域地产","深振业A","19920427"
"000007.SZ","000007","其他商业","全新好","19920413"
"000008.SZ","000008","运输设备","神州高铁","19920507"
"000009.SZ","000009","电气设备","中国宝安","19910625"
"000010.SZ","000010","建筑工程","美丽生态","19951027"
"000011.SZ","000011","房产服务","深物业A","19920330"
"000012.SZ","000012","玻璃","南玻A","19920228"
"000014.SZ","000014","全国地产","沙河股份","19920602"
"000016.SZ","000016","家用电器","深康佳A","19920327"
"000017.SZ","000017","服饰","深中华A","19920331"
"000019.SZ","000019","农业综合","深粮控股","19921012"
"000020.SZ","000020","元器件","深华发A","19920428"
"000021.SZ","000021","元器件","深科技","19940202"
"000025.SZ","000025","综合类","特力A","19930621"
"000026.SZ","000026","服饰","飞亚达","19930603"
"000027.SZ","000027","火力发电","深圳能源","19930903"
"000028.SZ","000028","医药商业","国药一致","19930809"
"000029.SZ","000029","区域地产","深深房A","19930915"
"000030.SZ","000030","汽车配件","富奥股份","19930929"
"000031.SZ","000031","全国地产","大悦城","19931008"
"000032.SZ","000032","建筑工程","深桑达A","19931028"
"000034.SZ","000034","软件服务","神州数码","19940509"
"000035.SZ","000035","环境保护","中国天楹","19940408"
"000036.SZ","000036","全国地产","华联控股","19940617"
"000037.SZ","000037","火力发电","深南电A","19940701"
"000039.SZ","000039","运输设备","中集集团","19940408"
"000042.SZ","000042","全国地产","中洲控股","19940921"
"000045.SZ","000045","元器件","深纺织A","19940815"
"000048.SZ","000048","区域地产","京基智农","19941101"
"000049.SZ","000049","电气设备","德赛电池","19950320"
"000050.SZ","000050","元器件","深天马A","19950315"
"000055.SZ","000055","其他建材","方大集团","19960415"
"000056.SZ","000056","其他商业","皇庭国际","19960708"
"000058.SZ","000058","商品城","深赛格","19961226"
"000059.SZ","000059","石油加工","华锦股份","19970130"
"000060.SZ","000060","铅锌","中金岭南","19970123"
"000061.SZ","000061","农业综合","农产品","19970110"
"000062.SZ","000062","元器件","深圳华强","19970130"
"000063.SZ","000063","通信设备","中兴通讯","19971118"
"000065.SZ","000065","建筑工程","北方国际","19980605"
"000066.SZ","000066","IT设备","中国长城","19970626"
"000068.SZ","000068","环境保护","华控赛格","19970611"
"000069.SZ","000069","全国地产","华侨城A","19970910"
"000070.SZ","000070","通信设备","ST特信","20000511"
"000078.SZ","000078","医药商业","海王生物","19981218"
"000088.SZ","000088","港口","盐田港","19970728"
"000089.SZ","000089","机场","深圳机场","19980420"
"000090.SZ","000090","建筑工程","天健集团","19990721"
"000096.SZ","000096","石油贸易","广聚能源","20000724"
"000099.SZ","000099","空运","中信海直","20000731"
"000100.SZ","000100","元器件","TCL科技","20040130"
"000151.SZ","000151","商贸代理","中成股份","20000906"
"000153.SZ","000153","化学制药","丰原药业","20000920"
"000155.SZ","000155","新型电力","川能动力","20000926"
"000156.SZ","000156","影视音像","华数传媒","20000906"
"000157.SZ","000157","工程机械","中联重科","20001012"
"000158.SZ","000158","软件服务","常山北明","20000724"
"000159.SZ","000159","石油贸易","国际实业","20000926"
"000166.SZ","000166","证券","申万宏源","20150126"
"000301.SZ","000301","化纤","东方盛虹","20000529"
"000333.SZ","000333","家用电器","美的集团","20130918"
"000338.SZ","000338","汽车配件","潍柴动力","20070430"
"000400.SZ","000400","电气设备","许继电气","19970418"
"000401.SZ","000401","水泥","冀东水泥","19960614"
"000402.SZ","000402","全国地产","金融街","19960626"
"000403.SZ","000403","生物制药","派林生物","19960628"
"000404.SZ","000404","家用电器","长虹华意","19960619"
"000407.SZ","000407","供气供热","胜利股份","19960703"
"000408.SZ","000408","农药化肥","藏格矿业","19960628"
"000409.SZ","000409","软件服务","云鼎科技","19960627"
"000410.SZ","000410","机床制造","沈阳机床","19960718"
"000411.SZ","000411","医药商业","英特集团","19960716"
"000415.SZ","000415","多元金融","渤海租赁","19960716"
"000417.SZ","000417","百货","合百集团","19960812"
"000419.SZ","000419","百货","通程控股","19960816"
"000420.SZ","000420","化纤","吉林化纤","19960802"
"000421.SZ","000421","供气供热","南京公用","19960806"
"000422.SZ","000422","农药化肥","湖北宜化","19960815"
"000423.SZ","000423","中成药","东阿阿胶","19960729"
"000425.SZ","000425","工程机械","徐工机械","19960828"
"000426.SZ","000426","铅锌","兴业银锡","19960828"
"000428.SZ","000428","酒店餐饮","华天酒店","19960808"
"000429.SZ","000429","路桥","粤高速A","19980220"
"000430.SZ","000430","旅游景点","ST张家界","19960829"
"000488.SZ","000488","造纸","ST晨鸣","20001120"
"000498.SZ","000498","建筑工程","山东路桥","19970609"
"000501.SZ","000501","百货","武商集团","19921120"
"000503.SZ","000503","软件服务","国新健康","19921130"
"000504.SZ","000504","医疗保健","*ST生物","19921208"
"000505.SZ","000505","食品","京粮控股","19921221"
"000506.SZ","000506","黄金","中润资源","19930312"
"000507.SZ","000507","港口","珠海港","19930326"
"000509.SZ","000509","元器件","华塑控股","19930507"
"000510.SZ","000510","化工原料","新金路","19930507"
"000513.SZ","000513","化学制药","丽珠集团","19931028"
"000514.SZ","000514","区域地产","渝开发","19930712"
"000516.SZ","000516","医疗保健","国际医学","19930809"
"000517.SZ","000517","区域地产","荣安地产","19930806"
"000518.SZ","000518","生物制药","*ST四环","19930908"
"000519.SZ","000519","专用机械","中兵红箭","19931008"
"000520.SZ","000520","水运","凤凰航运","19931025"
"000521.SZ","000521","家用电器","长虹美菱","19931018"
"000523.SZ","000523","食品","红棉股份","19931108"
"000524.SZ","000524","旅游服务","岭南控股","19931118"
"000525.SZ","000525","农药化肥","红太阳","19931028"
"000526.SZ","000526","文教休闲","学大教育","19931101"
"000528.SZ","000528","工程机械","柳工","19931118"
"000529.SZ","000529","食品","广弘控股","19931118"
"000530.SZ","000530","机械基件","冰山冷热","19931208"
"000531.SZ","000531","火力发电","穗恒运A","19940106"
"000532.SZ","000532","多元金融","华金资本","19940103"
"000533.SZ","000533","电气设备","顺钠股份","19940103"
"000534.SZ","000534","生物制药","万泽股份","19940110"
"000536.SZ","000536","元器件","华映科技","19931126"
"000537.SZ","000537","新型电力","中绿电","19931210"
"000538.SZ","000538","中成药","云南白药","19931215"
"000539.SZ","000539","火力发电","粤电力A","19931126"
"000541.SZ","000541","家用电器","佛山照明","19931123"
"000543.SZ","000543","火力发电","皖能电力","19931220"
"000544.SZ","000544","环境保护","中原环保","19931208"
"000545.SZ","000545","化工原料","金浦钛业","19931215"
"000546.SZ","000546","环境保护","金圆股份","19931215"
"000547.SZ","000547","通信设备","航天发展","19931130"
"000548.SZ","000548","路桥","湖南投资","19931220"
"000550.SZ","000550","汽车整车","江铃汽车","19931201"
"000551.SZ","000551","专用机械","创元科技","19940106"
"000552.SZ","000552","煤炭开采","甘肃能化","19940106"
"000553.SZ","000553","农药化肥","安道麦A","19931203"
"000554.SZ","000554","石油贸易","泰山石油","19931215"
"000555.SZ","000555","软件服务","神州信息","19940408"
"000557.SZ","000557","铁路","西部创业","19940617"
"000558.SZ","000558","旅游景点","天府文旅","19940509"
"000559.SZ","000559","汽车配件","万向钱潮","19940110"
"000560.SZ","000560","房产服务","我爱我家","19940202"
"000561.SZ","000561","通信设备","烽火电子","19940509"
"000563.SZ","000563","多元金融","陕国投A","19940110"
"000564.SZ","000564","百货","供销大集","19940110"
"000565.SZ","000565","染料涂料","渝三峡A","19940408"
"000566.SZ","000566","化学制药","海南海药","19940525"
"000567.SZ","000567","多元金融","海德股份","19940525"
"000568.SZ","000568","白酒","泸州老窖","19940509"
"000570.SZ","000570","农用机械","苏常柴A","19940701"
"000571.SZ","000571","煤炭开采","新大洲A","19940525"
"000572.SZ","000572","汽车整车","海马汽车","19940808"
"000573.SZ","000573","区域地产","粤宏远A","19940815"
"000576.SZ","000576","电气设备","甘化科工","19940907"
"000581.SZ","000581","汽车配件","威孚高科","19980924"
"000582.SZ","000582","港口","北部湾港","19951102"
"000584.SZ","000584","专用机械","工智退","19951128"
"000586.SZ","000586","通信设备","汇源通信","19951220"
"000589.SZ","000589","汽车配件","贵州轮胎","19960308"
"000590.SZ","000590","中成药","启迪药业","19960119"
"000591.SZ","000591","新型电力","太阳能","19960208"
"000592.SZ","000592","林业","平潭发展","19960327"
"000593.SZ","000593","供气供热","德龙汇能","19960312"
"000595.SZ","000595","机械基件","*ST宝实","19960419"
"000596.SZ","000596","白酒","古井贡酒","19960927"
"000597.SZ","000597","化学制药","东北制药","19960523"
"000598.SZ","000598","水务","兴蓉环境","19960529"
"000599.SZ","000599","汽车配件","青岛双星","19960430"
"000600.SZ","000600","火力发电","建投能源","19960606"
"000601.SZ","000601","水力发电","韶能股份","19960830"
"000603.SZ","000603","铅锌","盛达资源","19960823"
"000605.SZ","000605","水务","渤海股份","19960913"
"000607.SZ","000607","广告包装","华媒控股","19960830"
"000608.SZ","000608","区域地产","*ST阳光","19960919"
"000609.SZ","000609","区域地产","ST中迪","19961010"
"000610.SZ","000610","旅游服务","西安旅游","19960926"
"000612.SZ","000612","铝","焦作万方","19960926"
"000615.SZ","000615","医疗保健","*ST美谷","19961016"
"000617.SZ","000617","多元金融","中油资本","19961022"
"000619.SZ","000619","其他建材","海螺新材","19961023"
"000620.SZ","000620","全国地产","新华联","19961029"
"000622.SZ","000622","批发业","*ST恒立","19961107"
"000623.SZ","000623","中成药","吉林敖东","19961028"
"000625.SZ","000625","汽车整车","长安汽车","19970610"
"000626.SZ","000626","商贸代理","远大控股","19961128"
"000627.SZ","000627","保险","天茂集团","19961112"
"000628.SZ","000628","建筑工程","高新发展","19961118"
"000629.SZ","000629","小金属","钒钛股份","19961115"
"000630.SZ","000630","铜","铜陵有色","19961120"
"000631.SZ","000631","综合类","顺发恒业","19961122"
"000632.SZ","000632","综合类","三木集团","19961121"
"000633.SZ","000633","小金属","合金投资","19961112"
"000635.SZ","000635","化工原料","英力特","19961120"
"000636.SZ","000636","元器件","风华高科","19961129"
"000637.SZ","000637","石油加工","茂化实华","19961114"
"000638.SZ","000638","农业综合","*ST万方","19961126"
"000639.SZ","000639","食品","西王食品","19961126"
"000650.SZ","000650","中成药","仁和药业","19961210"
"000651.SZ","000651","家用电器","格力电器","19961118"
"000652.SZ","000652","批发业","泰达股份","19961128"
"000655.SZ","000655","普钢","金岭矿业","19961128"
"000656.SZ","000656","全国地产","*ST金科","19961128"
"000657.SZ","000657","小金属","中钨高新","19961205"
"000659.SZ","000659","广告包装","珠海中富","19961203"
"000661.SZ","000661","生物制药","长春高新","19961218"
"000663.SZ","000663","林业","永安林业","19961206"
"000665.SZ","000665","影视音像","湖北广电","19961210"
"000668.SZ","000668","房产服务","*ST荣控","19961210"
"000669.SZ","000669","供气供热","ST金鸿","19961210"
"000670.SZ","000670","元器件","盈方微","19961217"
"000672.SZ","000672","水泥","上峰水泥","19961218"
"000676.SZ","000676","互联网","智度股份","19961224"
"000677.SZ","000677","化纤","恒天海龙","19961226"
"000678.SZ","000678","汽车配件","襄阳轴承","19970106"
"000679.SZ","000679","百货","大连友谊","19970124"
"000680.SZ","000680","工程机械","山推股份","19970122"
"000681.SZ","000681","互联网","视觉中国","19970121"
"000682.SZ","000682","电气设备","东方电子","19970121"
"000683.SZ","000683","化工原料","博源化工","19970131"
"000685.SZ","000685","水务","中山公用","19970123"
"000686.SZ","000686","证券","东北证券","19970227"
"000688.SZ","000688","铅锌","国城矿业","19970120"
"000690.SZ","000690","火力发电","宝新能源","19970128"
"000691.SZ","000691","化工原料","*ST亚太","19970228"
"000692.SZ","000692","供气供热","惠天热电","19970227"
"000695.SZ","000695","广告包装","滨海能源","19970218"
"000697.SZ","000697","航空","ST炼石","19970325"
"000698.SZ","000698","石油加工","沈阳化工","19970220"
"000700.SZ","000700","汽车配件","模塑科技","19970228"
"000701.SZ","000701","商贸代理","厦门信达","19970226"
"000702.SZ","000702","饲料","正虹科技","19970318"
"000703.SZ","000703","化纤","恒逸石化","19970328"
"000705.SZ","000705","医药商业","浙江震元","19970410"
"000707.SZ","000707","化工原料","双环科技","19970415"
"000708.SZ","000708","特种钢","中信特钢","19970326"
"000709.SZ","000709","普钢","河钢股份","19970416"
"000710.SZ","000710","医疗保健","贝瑞基因","19970422"
"000711.SZ","000711","环境保护","*ST京蓝","19970411"
"000712.SZ","000712","证券","锦龙股份","19970415"
"000713.SZ","000713","种植业","丰乐种业","19970422"
"000715.SZ","000715","百货","中兴商业","19970508"
"000716.SZ","000716","食品","黑芝麻","19970418"
"000717.SZ","000717","普钢","中南股份","19970508"
"000718.SZ","000718","区域地产","苏宁环球","19970408"
"000719.SZ","000719","出版业","中原传媒","19970331"
"000720.SZ","000720","电气设备","新能泰山","19970509"
"000721.SZ","000721","酒店餐饮","西安饮食","19970430"
"000722.SZ","000722","水力发电","湖南发展","19970522"
"000723.SZ","000723","焦炭加工","美锦能源","19970515"
"000725.SZ","000725","元器件","京东方A","20010112"
"000726.SZ","000726","纺织","鲁泰A","20001225"
"000727.SZ","000727","元器件","冠捷科技","19970520"
"000728.SZ","000728","证券","国元证券","19970616"
"000729.SZ","000729","啤酒","燕京啤酒","19970716"
"000731.SZ","000731","农药化肥","四川美丰","19970617"
"000733.SZ","000733","元器件","振华科技","19970703"
"000735.SZ","000735","农业综合","罗牛山","19970611"
"000736.SZ","000736","全国地产","*ST中地","19970425"
"000737.SZ","000737","铜","北方铜业","19970428"
"000738.SZ","000738","航空","航发控制","19970626"
"000739.SZ","000739","化学制药","普洛药业","19970509"
"000750.SZ","000750","证券","国海证券","19970709"
"000751.SZ","000751","铅锌","锌业股份","19970626"
"000752.SZ","000752","啤酒","ST西发","19970625"
"000753.SZ","000753","综合类","漳州发展","19970626"
"000755.SZ","000755","路桥","山西高速","19970627"
"000756.SZ","000756","化学制药","新华制药","19970806"
"000757.SZ","000757","汽车服务","浩物股份","19970627"
"000758.SZ","000758","铅锌","中色股份","19970416"
"000759.SZ","000759","超市连锁","中百集团","19970519"
"000761.SZ","000761","普钢","本钢板材","19980115"
"000762.SZ","000762","小金属","西藏矿业","19970708"
"000766.SZ","000766","化学制药","通化金马","19970430"
"000767.SZ","000767","火力发电","晋控电力","19970609"
"000768.SZ","000768","航空","中航西飞","19970626"
"000776.SZ","000776","证券","广发证券","19970611"
"000777.SZ","000777","机械基件","中核科技","19970710"
"000778.SZ","000778","钢加工","新兴铸管","19970606"
"000779.SZ","000779","建筑工程","甘咨询","19970528"
"000782.SZ","000782","化纤","恒申新材","19970619"
